,M1646_1,M1647_1,M01135_GAMYB_Q2,M0040_1,M0041_1,M1313_1,M0149_1,M01164_SQUA_01,M2368_1,M0008_1,M2369_1,ATHB2_binding_site_motif,M1561_1,LS5_promoter_element,M1678_1,M1679_1,M0821_1,E2F_DP_BS_in_AtCDC6,ACE_promoter_motif,M0037_1,M2356_1,M00151_AG_01,M0036_1,M2357_1,M1365_1,M01191_HDG7_01,SORLREP1,EveningElement_promoter_motif,OBP-1-4-5_BS_in_GST6,M1697_1,M1696_1,M0265_1,M0264_1,M2363_1,M00440_CG1_Q6,M1211_1,T-box_promoter_motif,M00819_KNOX3_01,M0142_1,M00417_ATHB9_01,M1921_1,Bellringer_replumless_pennywise_BS3_IN_AG,M1319_1,SORLIP1,M00344_RAV1_02,M00942_CPRF1_01,M01054_BHLH66_01,M00681_WRKY_Q2,M00376_TGA1A_Q2,M00441_GBF_Q2,M01114_E2F_Q2,M00479_ALFIN1_Q2,M1326_1,M1327_1,SORLIP3,AP1_BS_in_AP3,TGA1_binding_site_motif,M1576_1,M0370_1,M0371_1,M0840_1,M1618_1,M0841_1,M1619_1,M00089_ATHB1_01,M0591_1,M0590_1,ATB2_AtbZIP53_AtbZIP44_GBF5_BS_in_ProDH,M1650_1,M2662_1,M0765_1,M0764_1,Inr,M1842_1,M2341_1,M0020_1,M0021_1,M0653_1,M00943_TAF1_01,M00345_GAMYB_01,EIN3_BS_in_ERF1,AGL15_BS_in_AtGA2ox6,M0155_1,M0014_1,M0272_1,M0273_1,M0015_1,M2374_1,M00408_MADSA_Q2,M01133_AG_Q2,M1346_1,HSEs_binding_site_motif,M1680_1,M1681_1,M1403_1,SORLREP3,M1402_1,M1331_1,M1330_1,M00969_ATMYB15_01,Y_Patch,M01180_SPL14_01,M1940_1,M1941_1,M0682_1,Bellringer_replumless_pennywise_BS2_IN_AG,M01194_PDF2_01,CCA1_binding_site_motif,OBF4-5_BS_in_GST6,M0847_1,M0846_1,M0019_1,M0018_1,M2379_1,M00352_DOF1_01,M0376_1,M1656_1,M1657_1,M1303_1,M0762_1,M0763_1,M0158_1,M0027_1,M2346_1,AG_BS_in_SPL_NOZ,M0026_1,M2347_1,M1620_1,M00968_ATMYB77_01,M01189_CBNAC_02,M00700_ROM_Q2,M00654_OSBZ8_Q6,M0654_1,M0655_1,M00404_MADSB_Q2,M0166_1,M0167_1,M0153_1,M00371_CPRF2_Q2,M1309_1,M0768_1,M0769_1,M00949_AGL15_01,M00506_LIM1_01,M1686_1,M0081_1,M0080_1,M0013_1,M2373_1,M0012_1,M1341_1,M1340_1,M1404_1,M1405_1,M00788_EMBP1_02,M1663_1,M00392_AGL3_01,M01062_AGL2_02,M1336_1,M1337_1,M1277_1,AtMYB2_BS_in_RD22,LFY_consensus_binding_site_motif,M1276_1,M00401_ABF1_03,M00434_PIF3_01,ARF_binding_site_motif,SBP-box_promoter_motif,M0581_1,M0329_1,M00702_SPF1_Q2,SORLREP5,M1315_1,M1314_1,JASE1_motif_in_OPR1,M1566_1,M1700_1,M00442_ABF_Q2,M1701_1,Nonamer_promoter_motif,M1567_1,M0268_1,M0269_1,M0850_1,M0851_1,M0079_1,M0078_1,CArG1_motif_in_AP3,M0256_1,M2351_1,M0030_1,M2350_1,M0031_1,M0257_1,M00367_HBP1A_Q2,M1363_1,M0262_1,M0004_1,M2365_1,M0005_1,M2364_1,M0263_1,M00370_CPRF3_Q2,AP1_BS_in_SUP,CArG2_motif_in_AP3,M1690_1,M1691_1,M0677_1,M0145_1,M00439_C1_Q2,DRE_promoter_motif,CArG3_motif_in_AP3,M00375_TGA1B_Q2,M01006_AGP1_01,SORLIP5,M0073_1,M0072_1,M00315_GEN_INI_B,M01186_STF1_01,M1321_1,M1320_1,M01050_ARR10_01,M2380_1,M2381_1,M0649_1,M0648_1,M01188_CBNAC_01,ATHB6_binding_site_motif,M0156_1,M0157_1,M0665_1,M1345_1,M1344_1,M0849_1,M0848_1,M0017_1,M0271_1,M0270_1,M0016_1,M00950_AG_02,M2377_1,M1683_1,M1682_1,CArG_promoter_motif,M01156_BZR1_01,M1332_1,PI_promoter_motif,M1333_1,M1400_1,M1401_1,M01021_ID1_01,M0029_1,M2348_1,M0028_1,M2349_1,M0681_1,RY-repeat_promoter_motif,M0680_1,M1943_1,M0121_1,M1575_1,M0373_1,M0372_1,M1689_1,M1688_1,M0843_1,M0842_1,M1836_1,M2661_1,M0766_1,M0767_1,GCbox,CAATbox,M1278_1,M00653_OCSBF1_01,M2342_1,M0023_1,M2343_1,M0022_1,M0162_1,M0163_1,M01052_MYB80_01,M0650_1,M0651_1,M01192_HDG9_01,JASE2_motif_in_OPR1,M00937_TGA1A_Q2_01,M0758_1,M0759_1,M1338_1,M1339_1,M1694_1,M1695_1,M1569_1,M00958_ABI4_01,M2361_1,M0266_1,M01055_NAC691_01,SORLREP2,M0267_1,M00368_CPRF_Q2,LFY_BS_in_AP3,M2699_1,M00343_RAV1_01,CBF1_BS_in_cor15a,M00948_PCF2_01,M00369_TAF1_Q2,M0258_1,M0259_1,M1325_1,W-box_promoter_motif,M1324_1,RAV1-B_binding_site_motif,M1416_1,M0771_1,M0770_1,DPBF1_2_binding_site_motif,M1645_1,M1644_1,M0043_1,M00936_HBPA1_Q6_01,M0854_1,CCA1_motif1_BS_in_CAB1,MYB_binding_site_promoter,M00353_DOF2_01,M00366_EMBP1_Q2,M1562_1,L1-box_promoter_motif,M1563_1,TEF-box_promoter_motif,M01061_AGL2_01,SORLIP2,M0646_1,M00635_GT1_Q6,Hexamer_promoter_motif,EIL1_BS_in_ERF1,M0034_1,M2355_1,M0252_1,M0035_1,M2354_1,ATHB1_binding_site_motif,M00503_ATHB5_01,DRE-like_promoter_motif,M00735_ZAP1_01,M00507_TRAB1_Q2,M0261_1,M0007_1,M0006_1,M0260_1,M1693_1,M1692_1,M0369_1,M1648_1,M1649_1,M0229_1,M0588_1,M0589_1,M0146_1,M0147_1,M0039_1,M2358_1,M0038_1,M2359_1,LS7_promoter_element,M01179_CBT_01,M00435_PIF3_02,M1322_1,M1323_1,M00393_AGL3_02,M00399_ABF1_01,M1410_1,M1411_1,M1677_1,M2383_1,M2382_1,M00660_RITA1_01,M0582_1,M0583_1,GATA_promoter_motif_LRE,M1316_1,M1317_1,M1642_1,CCA1_motif2_BS_in_CAB1,M1702_1,TATAbox,M1564_1,M1699_1,BoxII_promoter_motif,M01059_AGL1_01,M00501_ANT_01,M0853_1,M0852_1,M00952_PCF5_01,Z-box_promoter_motif,octamer_promoter_motif,M1329_1,GA,M2863_1,M1195_1,Ibox_promoter_motif,M00355_PBF_01,M0255_1,M2352_1,M0033_1,M2353_1,M01193_ML1_01,M0032_1,M0151_1,M0150_1,SORLIP4,M00502_TEIL_01,M01060_AGL1_02,M00354_DOF3_01,M00361_CDC5_01,M1932_1,M1684_1,M1685_1,M01136_DOF_Q2,M0118_1,M0119_1,M01126_BPC1_Q2,M00970_ATMYB84_01,M1343_1,M2371_1,M0010_1,M2370_1,M0011_1,ABFs_binding_site_motif,CBF2_binding_site_motif,M00945_CPRF2_01,M01187_STF1_02,M1335_1,M1334_1,M1407_1,TELO-box_promoter_motif,M1406_1,E2F_binding_site_motif,M01128_SED_Q2,M00149_SBF1_01,M1274_1,M1275_1,M0844_1,M0845_1,Bellringer_replumless_pennywise_BS1_IN_AG,M00697_HBP1B_Q6,PRHA_BS_in_PAL1,M0761_1,M0760_1,MRE_motif_in_CHS,M1655_1,M1209_1,VOZ_binding_site,SORLREP4,M01130_PBF_Q2,M0024_1,M2345_1,M0025_1,M2344_1,M00946_TGA1B_01,M00400_ABF1_02,M01057_ERF2_01,M0165_1,M0164_1,M0657_1,M0656_1
Chr2_-_17060652_AT2G40890_tair(-),59,78,91,71,71,41,58,47,68,39,122,29,53,52,56,60,46,147,46,91,62,65,78,51,35,37,32,43,39,57,56,62,56,118,76,57,58,80,32,75,78,39,56,60,76,57,60,46,67,77,69,90,37,59,51,33,55,44,41,50,68,73,43,72,34,37,48,26,55,45,45,48,49,36,71,78,59,56,69,85,218,49,77,70,70,61,74,64,52,49,53,52,58,65,28,32,43,35,57,69,120,53,71,30,43,39,46,47,202,74,46,71,92,94,62,37,71,70,28,34,51,59,91,55,65,83,126,71,69,56,66,106,54,47,49,57,59,55,68,39,45,53,42,114,56,54,66,35,59,79,59,23,71,47,47,66,54,64,43,42,62,70,43,55,153,90,53,32,64,47,32,41,43,45,48,45,62,106,60,49,36,55,67,34,42,63,64,124,74,56,45,99,79,66,71,41,59,67,42,74,99,57,68,41,122,56,45,75,58,91,51,162,74,40,51,70,64,57,81,48,42,33,72,65,58,54,33,28,63,52,63,45,45,20,56,62,61,53,91,45,62,55,57,47,53,44,49,65,52,67,57,79,73,79,68,46,44,47,92,40,50,47,43,51,52,40,33,55,40,54,56,72,58,53,48,75,82,78,80,55,72,46,60,48,38,64,66,46,41,50,51,66,60,41,87,53,64,96,54,48,57,79,78,77,75,75,70,62,58,41,54,54,51,71,57,43,52,65,66,89,82,34,38,78,61,72,52,28,33,65,65,28,48,42,52,196,64,53,56,75,64,40,38,65,62,83,60,77,90,66,51,62,54,65,73,50,49,59,49,54,79,66,85,57,41,78,86,43,37,47,122,75,73,62,74,66,57,65,94,32,54,30,4,44,55,22,48,72,38,78,79,51,51,67,48,67,54,43,77,39,36,62,53,74,78,66,44,75,49,52,42,44,75,64,78,58,60,59,55,30,27,57,78,47,33,68,57,68,54,52,69,76,56,31,60,57,55,64,45,53,64,56,31,53,48,81,136,51,42,165,59,53,65,56,44,70,69,90,84,70,164,64,67,62,56,64
Chr2_+_18316278_AT2G44350_tair(+),36,36,68,51,51,42,35,54,49,54,55,29,46,26,39,50,48,85,34,51,56,58,52,35,33,35,34,35,49,50,55,39,34,66,33,41,63,60,27,57,46,30,33,29,55,38,50,46,38,43,54,58,42,49,43,45,45,21,34,37,42,46,67,41,45,42,42,28,37,47,62,64,45,39,68,42,50,50,39,57,109,50,52,47,42,42,56,44,54,50,36,43,44,51,32,48,34,50,50,53,62,49,76,53,36,33,42,34,113,45,34,49,52,48,46,34,42,45,28,45,49,39,62,30,65,52,130,50,50,45,31,48,45,41,55,47,31,41,38,49,59,51,53,50,49,45,55,51,46,50,49,21,36,23,37,38,43,47,48,57,34,27,27,41,72,50,37,41,37,38,26,37,53,35,36,43,50,59,45,42,38,38,44,25,34,28,49,79,41,80,50,51,52,40,37,52,38,46,46,40,62,31,37,58,75,53,39,36,38,69,28,95,39,59,38,55,51,37,52,50,55,46,49,51,47,50,50,35,41,42,30,47,41,16,36,40,37,32,55,61,47,38,43,50,37,46,40,39,29,48,66,52,63,51,62,41,41,42,55,41,24,40,32,46,37,24,23,38,45,65,49,44,39,49,29,43,54,34,53,37,45,44,36,46,41,42,50,55,52,49,44,47,58,43,58,38,35,48,31,46,39,53,56,74,52,39,36,35,44,45,40,46,48,27,43,48,44,44,46,51,43,29,29,35,54,40,42,40,39,52,48,14,38,36,38,82,51,37,40,44,37,45,46,38,45,38,33,60,57,50,37,53,48,45,40,44,40,49,39,47,46,43,48,48,29,56,54,57,42,39,75,31,28,50,64,46,29,36,108,36,39,32,11,27,51,16,36,51,46,62,63,36,28,41,37,45,52,36,58,35,31,40,34,99,53,40,36,52,44,40,38,40,60,51,58,35,54,46,51,42,29,47,59,53,28,53,48,43,46,40,41,46,55,49,28,44,31,57,50,42,51,40,23,29,41,43,58,53,50,74,38,26,41,46,41,44,43,48,45,36,76,35,42,38,52,48
Chr3_-_4865949_AT3G14490_tair(-),71,66,83,62,73,33,60,46,81,53,77,17,62,52,72,57,42,124,83,82,67,47,67,60,45,63,33,38,49,78,53,64,61,127,71,56,54,61,28,77,85,24,60,72,62,64,64,51,67,79,61,118,47,60,50,51,77,33,45,48,55,51,45,52,53,50,49,35,84,47,52,47,62,38,73,77,61,69,67,50,185,49,71,59,74,63,59,73,64,48,54,40,65,61,36,36,39,62,53,97,96,39,82,51,52,31,52,48,164,55,45,69,86,78,66,40,75,75,34,37,50,64,71,52,91,65,192,65,81,58,74,79,60,44,69,59,57,55,66,51,50,48,42,79,67,57,62,57,65,75,58,29,87,44,62,75,58,61,63,54,54,40,46,35,135,124,44,52,57,56,31,38,67,51,55,35,65,109,57,61,34,72,67,29,37,42,59,117,74,54,46,77,69,75,78,55,73,63,46,77,83,54,71,48,133,65,61,58,44,65,45,137,79,54,91,68,59,51,96,47,53,41,76,68,71,59,47,27,64,54,57,57,51,20,41,54,67,49,71,45,60,64,68,52,45,47,50,45,56,68,62,75,73,75,58,47,62,51,67,50,35,58,47,67,64,31,42,60,46,49,43,65,50,29,42,76,78,69,70,55,65,56,58,59,60,59,73,46,45,45,55,67,58,35,86,54,74,101,29,57,70,80,63,82,67,70,67,70,62,44,47,61,50,62,46,44,63,73,68,64,74,27,37,51,71,78,43,36,34,82,63,35,45,25,45,145,65,70,58,52,71,52,45,62,53,71,70,83,78,68,71,69,46,76,77,60,41,52,58,49,72,72,75,60,38,81,97,52,50,52,144,76,58,45,60,57,54,54,65,57,51,43,8,55,65,22,43,66,31,69,62,45,38,66,38,50,32,78,84,43,41,69,57,58,73,72,66,61,61,60,48,39,64,74,68,64,69,58,79,51,30,73,112,51,43,56,62,65,64,60,68,88,67,42,70,50,62,54,56,40,65,63,21,47,43,72,89,52,48,117,81,41,59,49,60,68,96,88,79,75,128,60,59,52,59,45
Chr3_-_4878336_AT3G14520_tair(-),77,80,94,88,89,48,62,51,87,71,79,17,59,44,66,61,57,186,58,96,68,62,87,61,46,56,25,49,56,67,68,61,68,140,77,51,55,72,27,78,99,34,66,64,76,55,69,59,70,74,78,147,52,54,54,41,87,37,45,57,56,76,79,84,52,55,44,37,72,46,65,57,51,26,84,77,79,65,76,52,283,67,84,69,89,69,72,79,74,50,49,53,67,60,25,34,42,65,80,113,96,50,85,60,65,26,57,52,279,54,50,78,90,97,58,32,90,92,27,50,50,57,106,53,87,95,183,74,88,70,62,104,56,49,68,72,66,74,67,64,53,52,46,79,76,64,65,78,76,85,70,27,80,43,62,77,61,70,70,64,51,55,49,46,209,127,50,46,57,48,40,47,52,64,42,40,67,141,69,60,46,76,73,29,48,59,70,141,75,69,60,78,80,84,76,57,59,79,48,75,96,68,66,55,167,71,54,80,26,73,45,182,73,62,73,78,80,49,91,50,59,50,75,81,61,51,52,29,69,70,80,71,67,29,43,83,67,60,62,64,70,63,69,56,60,47,48,51,44,63,57,86,86,81,78,61,68,62,92,69,44,73,42,58,61,42,39,63,40,52,47,59,41,38,40,87,89,78,82,68,87,58,51,52,51,61,97,57,49,60,60,65,66,43,86,59,70,109,33,50,64,79,83,86,83,95,75,65,64,59,40,55,41,61,53,47,54,80,84,83,69,29,48,53,74,71,65,44,50,98,65,40,36,31,54,215,82,62,61,88,67,36,46,64,64,85,68,104,93,69,64,72,55,85,93,52,41,51,65,73,83,73,87,66,38,94,114,50,62,56,188,68,62,53,81,69,55,50,43,43,62,40,6,47,65,16,51,68,36,73,69,46,41,70,38,67,40,76,116,45,35,63,68,70,86,69,50,78,59,57,73,62,72,72,85,63,69,65,84,45,24,64,133,66,51,82,71,74,70,61,67,91,71,51,64,36,54,64,54,35,90,72,22,53,32,82,136,51,47,165,73,52,74,42,46,81,107,95,91,72,164,68,75,70,53,46
Chr3_-_4883936_AT3G14540_tair(-),65,73,92,81,81,42,66,37,76,63,93,22,54,47,66,54,51,178,64,92,65,50,83,59,54,57,40,46,48,69,52,56,71,151,75,55,49,79,26,84,93,32,63,61,71,66,69,52,68,76,66,126,58,53,67,47,84,32,47,51,52,70,65,76,52,57,57,36,67,41,68,62,62,31,73,72,77,57,82,55,279,56,92,55,88,67,69,67,65,41,47,45,61,50,26,41,40,63,63,99,111,61,79,65,57,25,55,56,277,48,52,71,93,99,67,35,81,80,28,53,55,67,90,53,85,77,185,65,77,68,65,101,58,49,63,70,75,82,73,55,61,62,52,92,72,52,61,73,84,83,58,29,76,47,56,66,54,58,73,61,56,48,46,42,210,124,56,49,60,56,32,46,54,59,49,37,61,135,53,62,39,74,70,39,52,61,64,153,78,63,53,96,79,76,80,68,70,74,44,70,114,67,73,41,162,72,56,77,24,85,43,193,74,61,79,74,72,57,85,50,67,50,67,83,58,50,51,36,83,77,70,66,59,20,39,68,67,58,65,56,57,66,67,44,54,55,50,50,47,59,59,79,84,80,72,58,68,54,88,55,43,80,52,57,59,41,40,57,44,57,58,57,42,37,36,86,79,77,75,73,88,62,52,54,48,59,96,61,57,48,59,63,57,33,90,67,70,106,35,44,75,107,83,77,80,85,80,68,65,61,41,50,42,63,55,52,53,71,76,77,70,32,39,53,73,75,67,40,44,96,52,31,45,30,51,226,75,65,73,73,69,35,40,55,63,79,71,102,91,67,64,77,52,64,89,61,41,51,62,54,81,72,82,68,48,92,120,51,62,52,181,67,60,57,86,57,59,58,47,50,48,44,7,50,62,17,54,68,31,73,86,46,42,68,42,65,30,80,119,43,31,59,73,61,77,74,52,64,62,70,62,53,72,60,93,66,64,53,74,43,20,74,127,58,40,74,57,68,79,68,77,82,71,59,67,46,53,63,56,35,76,61,22,47,25,83,156,60,60,173,67,49,72,46,48,77,101,91,97,86,177,65,77,76,54,54
Chr3_+_6744598_AT3G19450_tair(+),38,38,48,45,43,28,37,27,49,50,51,30,32,37,35,44,37,72,43,39,49,32,41,31,49,39,37,48,55,37,42,48,42,69,42,45,57,49,18,38,60,31,48,33,46,42,45,36,38,49,35,88,36,32,35,29,62,22,34,28,37,33,43,36,33,44,44,30,42,34,41,43,44,29,46,34,38,37,43,29,117,40,56,35,55,43,36,39,51,29,37,38,37,38,32,44,31,38,34,71,66,40,52,49,38,33,37,47,104,42,36,41,44,42,38,29,43,41,45,41,35,36,44,37,50,44,137,38,49,46,43,45,31,32,42,48,35,44,43,45,43,36,23,53,35,44,39,45,43,45,34,20,39,31,42,40,29,31,46,46,34,39,27,46,86,71,35,36,34,38,30,35,39,46,31,24,39,63,47,35,28,45,50,27,28,33,49,81,47,50,42,38,54,41,47,40,37,41,30,41,62,38,50,38,77,36,40,39,59,42,34,76,48,43,54,41,40,31,63,27,36,49,52,43,27,33,36,29,45,40,31,50,44,21,34,31,41,39,43,25,31,37,32,28,41,28,46,43,33,37,57,42,42,37,39,21,36,33,50,29,24,44,31,37,33,24,20,27,30,36,34,25,26,43,21,45,45,44,35,37,48,30,22,33,35,30,51,41,40,34,57,41,46,22,51,47,42,65,26,47,43,40,44,60,42,40,52,41,49,33,46,31,35,31,39,33,59,43,41,40,47,32,39,45,37,51,25,41,29,44,36,17,40,41,33,91,45,47,37,35,48,41,43,32,45,51,48,43,48,47,35,40,33,40,40,37,46,42,33,48,42,39,40,47,32,52,49,35,37,31,78,41,25,29,44,35,36,34,102,42,35,47,7,46,38,30,28,44,33,30,47,27,16,34,46,38,28,39,56,21,34,39,39,65,39,50,37,49,48,42,47,28,30,36,42,38,41,43,47,37,29,49,80,41,33,36,35,39,39,42,46,59,51,35,38,37,31,42,45,36,43,34,16,31,48,48,68,44,43,83,51,31,44,40,32,33,56,42,44,45,80,32,41,38,31,27
Chr3_-_7457379_AT3G21240_tair(-),52,78,103,82,96,43,55,33,77,54,135,34,51,68,66,58,40,181,66,116,66,49,97,68,41,44,24,47,52,81,55,64,62,120,75,56,69,74,24,87,69,30,41,77,92,67,68,57,72,92,85,91,51,51,49,43,59,40,48,60,59,84,63,97,47,45,40,38,54,48,59,45,70,36,58,93,73,47,84,79,256,58,82,82,85,77,94,57,49,43,57,50,69,53,27,14,40,63,53,73,138,45,85,52,43,27,40,58,249,93,50,98,110,94,54,39,73,67,36,53,52,71,95,64,70,82,92,88,79,66,74,108,49,49,55,64,60,64,84,41,60,51,43,123,71,48,70,62,73,95,53,24,62,38,55,49,52,49,48,57,60,52,49,34,177,100,53,35,64,59,29,34,50,48,54,43,73,114,64,67,42,68,77,36,57,79,71,133,70,67,57,100,81,74,87,64,66,95,49,90,108,76,86,46,158,69,62,87,36,103,49,199,92,55,64,71,71,63,94,47,56,44,73,75,53,39,52,45,65,64,69,51,51,40,47,80,79,49,99,42,47,68,66,30,48,42,63,56,42,61,56,107,59,102,50,47,57,52,107,41,54,60,49,57,64,42,27,42,40,58,55,79,56,44,43,67,93,86,106,72,79,44,59,38,52,80,73,48,42,51,50,59,53,39,106,65,70,83,36,41,81,90,83,93,73,79,88,63,78,47,38,50,58,57,59,46,45,72,63,103,84,44,38,64,58,86,53,21,42,65,52,31,39,29,63,201,73,64,67,83,68,41,50,72,65,73,73,105,106,64,71,69,47,62,75,62,41,43,51,69,102,77,98,57,44,69,101,50,53,38,129,65,80,70,82,63,66,66,52,59,53,37,5,50,64,12,50,68,29,63,86,40,60,65,25,51,35,72,110,47,52,52,60,78,109,73,43,70,59,64,46,43,51,62,97,67,60,56,57,42,20,60,66,50,29,84,50,95,60,71,82,85,49,52,62,53,49,71,59,35,77,58,17,54,26,96,160,63,53,200,62,40,55,81,38,91,77,116,94,83,167,98,66,58,43,49
Chr3_+_9430767_AT3G25810_tair(+),16,9,21,21,19,14,26,27,20,27,21,33,19,25,24,27,13,23,32,19,44,25,18,22,31,27,27,54,27,22,29,24,17,28,20,23,34,25,14,18,26,27,16,19,17,20,19,25,22,27,18,20,22,26,28,25,26,6,9,17,19,15,26,13,20,32,45,33,23,29,19,20,39,28,48,18,16,38,23,25,25,29,21,20,22,24,19,26,40,24,13,35,21,21,33,65,21,25,12,17,26,24,36,30,23,39,19,41,37,16,30,17,19,18,31,9,9,13,42,25,16,22,18,16,32,16,104,21,21,13,16,29,27,24,39,13,18,25,25,26,24,15,29,21,20,32,20,30,31,19,22,11,20,20,22,20,22,23,21,30,16,23,12,30,20,26,30,29,15,25,26,25,26,14,20,18,17,28,28,25,21,24,25,30,32,14,22,28,30,28,13,19,17,27,25,27,22,18,25,18,20,23,26,30,20,14,19,18,82,20,18,28,25,26,15,21,20,21,36,19,33,30,10,24,26,29,18,31,24,20,8,25,16,23,31,16,25,21,21,27,22,17,23,27,21,28,32,25,23,16,32,16,38,21,37,22,33,31,21,12,8,16,16,27,21,26,22,26,24,18,20,14,10,24,23,27,19,31,17,20,25,19,9,29,23,33,24,35,34,15,19,18,36,16,15,24,22,28,39,25,26,17,8,34,24,11,27,22,24,31,27,25,10,13,18,14,30,10,13,21,18,33,34,28,28,27,16,37,13,16,21,10,35,32,21,31,20,25,24,12,25,23,30,19,16,19,28,17,12,18,25,15,14,13,11,24,47,34,32,19,13,26,14,24,25,14,18,18,29,20,24,20,14,15,22,14,24,12,79,41,16,35,3,38,15,51,14,16,30,21,20,36,13,12,26,13,14,36,20,20,23,31,17,26,17,26,20,17,22,21,23,27,23,25,20,19,19,34,44,24,41,54,21,24,17,15,22,21,21,16,27,32,29,27,16,20,24,23,21,16,11,11,25,26,79,22,20,21,28,28,21,35,12,45,36,16,24,20,29,20,24,17,20,18,30,31
Chr3_+_9439246_AT3G25820_tair(+),32,41,40,39,49,26,35,39,35,47,66,37,31,37,28,41,23,85,42,47,32,35,46,41,37,47,27,46,39,42,38,43,32,43,37,35,62,36,13,32,53,31,22,40,42,33,37,34,38,38,34,39,37,41,35,44,44,18,24,27,27,32,56,32,52,45,47,29,37,38,34,29,51,33,36,39,35,44,39,45,59,40,37,36,33,36,40,46,36,40,32,45,31,34,30,55,25,46,37,35,91,42,34,46,34,23,41,46,95,36,42,42,51,42,40,19,31,24,48,34,28,38,39,42,34,31,57,44,35,35,53,51,23,24,39,36,33,35,39,28,43,27,33,55,33,37,34,52,41,40,38,17,34,35,35,30,32,27,33,43,32,40,45,35,43,38,35,42,32,33,22,38,45,15,37,28,30,36,32,41,38,34,40,34,41,22,44,65,46,54,25,44,26,41,37,33,31,36,38,45,46,36,38,44,57,30,31,26,44,56,37,80,43,45,36,32,29,34,48,31,39,43,32,40,32,35,55,31,34,37,26,40,20,27,43,28,28,38,43,27,27,33,28,33,29,28,42,34,40,34,59,53,30,46,25,39,45,37,49,14,16,33,24,37,30,32,33,27,36,27,28,43,29,35,33,31,36,41,45,30,37,39,23,41,41,45,54,34,37,28,23,34,37,25,37,36,28,36,37,40,39,27,35,43,42,31,45,40,33,33,44,44,34,35,32,31,48,32,29,51,46,42,32,43,31,46,33,33,24,24,32,11,30,30,35,56,31,39,41,30,38,36,47,35,39,39,38,53,49,39,31,33,29,31,30,48,38,43,43,32,38,46,34,34,38,42,36,23,39,26,42,48,24,32,47,32,45,35,69,49,27,30,4,39,28,38,27,34,26,33,47,34,22,39,35,36,22,44,38,29,32,37,33,65,51,38,39,27,36,34,42,38,28,25,36,39,25,37,38,25,38,56,34,20,25,40,33,39,35,33,37,48,20,34,39,20,41,49,61,26,24,19,26,41,41,44,58,40,40,101,34,39,32,64,38,39,42,56,43,51,55,39,30,35,30,34
Chr3_+_9447508_AT3G25830_tair(+),32,41,40,39,49,26,35,39,35,47,66,37,31,37,28,41,23,85,42,47,32,35,46,41,37,47,27,46,39,42,38,43,32,43,37,35,62,36,13,32,53,31,22,40,42,33,37,34,38,38,34,39,37,41,35,44,44,18,24,27,27,32,56,32,52,45,47,29,37,38,34,29,51,33,36,39,35,44,39,45,59,40,37,36,33,36,40,46,36,40,32,45,31,34,30,55,25,46,37,35,91,42,34,46,34,23,41,46,95,36,42,42,51,42,40,19,31,24,48,34,28,38,39,42,34,31,57,44,35,35,53,51,23,24,39,36,33,35,39,28,43,27,33,55,33,37,34,52,41,40,38,17,34,35,35,30,32,27,33,43,32,40,45,35,43,38,35,42,32,33,22,38,45,15,37,28,30,36,32,41,38,34,40,34,41,22,44,65,46,54,25,44,26,41,37,33,31,36,38,45,46,36,38,44,57,30,31,26,44,56,37,80,43,45,36,32,29,34,48,31,39,43,32,40,32,35,55,31,34,37,26,40,20,27,43,28,28,38,43,27,27,33,28,33,29,28,42,34,40,34,59,53,30,46,25,39,45,37,49,14,16,33,24,37,30,32,33,27,36,27,28,43,29,35,33,31,36,41,45,30,37,39,23,41,41,45,54,34,37,28,23,34,37,25,37,36,28,36,37,40,39,27,35,43,42,31,45,40,33,33,44,44,34,35,32,31,48,32,29,51,46,42,32,43,31,46,33,33,24,24,32,11,30,30,35,56,31,39,41,30,38,36,47,35,39,39,38,53,49,39,31,33,29,31,30,48,38,43,43,32,38,46,34,34,38,42,36,23,39,26,42,48,24,32,47,32,45,35,69,49,27,30,4,39,28,38,27,34,26,33,47,34,22,39,35,36,22,44,38,29,32,37,33,65,51,38,39,27,36,34,42,38,28,25,36,39,25,37,38,25,37,56,34,20,25,40,33,39,35,33,37,48,20,34,39,20,41,49,61,26,24,19,26,41,41,44,58,40,40,101,34,39,32,64,38,39,42,56,43,51,55,39,30,35,30,34
